HR_MEDICAO_GA,DT_MEDICAO_GA,TEM_INS_GA,UMD_INS_GA
1300,2022-06-08,32.29999924,61.916666666666664
1400,2022-06-08,32.61818105818182,59.54545454545455
1500,2022-06-08,33.209090149090905,57.09090909090909
1600,2022-06-08,33.38333257333333,55.5
1700,2022-06-08,33.916666668333335,53.916666666666664
1800,2022-06-08,33.79999924,55.27272727272727
1900,2022-06-08,33.13333257333333,61.888888888888886
2000,2022-06-08,31.981817421818178,67.18181818181819
2100,2022-06-08,31.04999924,68.8
2200,2022-06-08,30.40000025333333,71.16666666666667
2300,2022-06-08,30.188889606666667,74.11111111111111
0,2022-06-09,29.799999239999995,77.66666666666667
100,2022-06-09,29.789999392,79.2
200,2022-06-09,29.29999924,79.0909090909091
300,2022-06-09,29.033332826666665,79.66666666666667
400,2022-06-09,28.709999848000002,79.5
500,2022-06-09,28.48333327,80.0
600,2022-06-09,28.0,80.0
700,2022-06-09,27.781818389090912,80.54545454545455
800,2022-06-09,27.600000379999997,81.0
900,2022-06-09,27.745454787272728,80.54545454545455
1000,2022-06-09,28.72499974666667,77.08333333333333
1100,2022-06-09,30.029999734,73.9
1200,2022-06-09,31.50833257333333,67.91666666666667
1300,2022-06-09,32.57272651272727,62.45454545454545
1400,2022-06-09,33.11666616,60.166666666666664
1500,2022-06-09,33.16363560363636,59.90909090909091
1600,2022-06-09,33.39090833090909,60.0
1700,2022-06-09,32.39090833090909,66.54545454545455
1800,2022-06-09,32.04999924,66.58333333333333
1900,2022-06-09,30.64545406181818,69.36363636363636
2000,2022-06-09,28.933332921666665,70.58333333333333
2100,2022-06-09,28.281818216363636,72.27272727272727
2200,2022-06-09,27.672727583636366,75.0
2300,2022-06-09,27.30000044909091,76.81818181818181
